814341;81434*;8143**;814***;81****;8*****;*
518129;51812*;5181**;518***;51****;5*****;*
730746;73074*;7307**;730***;73****;7*****;*
469487;46948*;4694**;469***;46****;4*****;*
154437;15443*;1544**;154***;15****;1*****;*
487870;48787*;4878**;487***;48****;4*****;*
139449;13944*;1394**;139***;13****;1*****;*
310350;31035*;3103**;310***;31****;3*****;*
583031;58303*;5830**;583***;58****;5*****;*
655252;65525*;6552**;655***;65****;6*****;*
404113;40411*;4041**;404***;40****;4*****;*
374706;37470*;3747**;374***;37****;3*****;*
589628;58962*;5896**;589***;58****;5*****;*
934303;93430*;9343**;934***;93****;9*****;*
105431;10543*;1054**;105***;10****;1*****;*
737809;73780*;7378**;737***;73****;7*****;*
785082;78508*;7850**;785***;78****;7*****;*
468425;46842*;4684**;468***;46****;4*****;*
675835;67583*;6758**;675***;67****;6*****;*
770805;77080*;7708**;770***;77****;7*****;*
805985;80598*;8059**;805***;80****;8*****;*
442425;44242*;4424**;442***;44****;4*****;*
435857;43585*;4358**;435***;43****;4*****;*
866938;86693*;8669**;866***;86****;8*****;*
107881;10788*;1078**;107***;10****;1*****;*
